song	album_name	release_date	popularity	duration	danceability	date	rank
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-06	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-06	56.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-13	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-13	47.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-20	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-20	52.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-27	11.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-27	51.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-03	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-03	48.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-10	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-10	41.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-17	4.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-17	38.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-24	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-24	37.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-31	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-31	35.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-07	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-07	39.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-14	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-14	40.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-21	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-21	39.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-02-28	65.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-28	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-28	34.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-07	8.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-07	34.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-14	9.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-14	30.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-21	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-21	31.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-03-21	67.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-28	13.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-28	29.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-03-28	40.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-04	13.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-04	32.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-04-04	95.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-11	15.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-11	32.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-18	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-18	39.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-25	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-25	44.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-02	16.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-09	18.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2009-05-16	95.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-16	18.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-16	87.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-23	21.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-23	50.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-30	24.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-30	46.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-06	34.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-06	47.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-13	28.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-13	41.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-20	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-20	32.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-27	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-27	18.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-04	29.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-04	16.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-11	33.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-11	11.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-18	38.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-18	9.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-25	41.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-25	6.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-01	40.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-01	3.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-08	42.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-08	4.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-15	46.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-15	3.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-22	46.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-22	2.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-29	49.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-29	4.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-09-05	4.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-09-12	5.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-09-19	6.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-09-26	6.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-10-03	94.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-10-03	4.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-10-10	89.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-10-10	6.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-10-17	81.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-10-17	7.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-10-24	77.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-10-24	8.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-10-31	67.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-10-31	10.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-11-07	62.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-11-07	11.0
jump then fall	Fearless Platinum Edition	2008-11-11	45.0	237066.0	0.618	2009-11-14	10.0
untouchable	Fearless Platinum Edition	2008-11-11	45.0	311040.0	0.419	2009-11-14	19.0
forever & always	Fearless Platinum Edition	2008-11-11	45.0	267506.0	0.592	2009-11-14	34.0
come in with the rain	Fearless Platinum Edition	2008-11-11	44.0	238106.0	0.527	2009-11-14	30.0
superstar	Fearless Platinum Edition	2008-11-11	42.0	261453.0	0.61	2009-11-14	26.0
the other side of the door	Fearless Platinum Edition	2008-11-11	43.0	237600.0	0.476	2009-11-14	23.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-11-14	46.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-11-14	14.0
jump then fall	Fearless Platinum Edition	2008-11-11	45.0	237066.0	0.618	2009-11-21	41.0
untouchable	Fearless Platinum Edition	2008-11-11	45.0	311040.0	0.419	2009-11-21	69.0
forever & always	Fearless Platinum Edition	2008-11-11	45.0	267506.0	0.592	2009-11-21	100.0
the other side of the door	Fearless Platinum Edition	2008-11-11	43.0	237600.0	0.476	2009-11-21	94.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-11-21	38.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-11-21	13.0
jump then fall	Fearless Platinum Edition	2008-11-11	45.0	237066.0	0.618	2009-11-28	91.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-11-28	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-11-28	14.0
