name	album_name	release_date	popularity	duration	danceability
Red - Original Demo Recording	Red (Deluxe Edition)	2012-10-22	38	226280	0.678
State Of Grace - Acoustic	Red (Deluxe Edition)	2012-10-22	42	323080	0.626
Mine	Speak Now (Deluxe Edition)	2010-10-25	57	230706	0.624
Sparks Fly	Speak Now (Deluxe Edition)	2010-10-25	58	260933	0.605
Back To December	Speak Now (Deluxe Edition)	2010-10-25	59	293026	0.529
Speak Now	Speak Now (Deluxe Edition)	2010-10-25	56	240760	0.709
Dear John	Speak Now (Deluxe Edition)	2010-10-25	61	403920	0.589
Mean	Speak Now (Deluxe Edition)	2010-10-25	56	237733	0.568
The Story Of Us	Speak Now (Deluxe Edition)	2010-10-25	57	265666	0.543
Never Grow Up	Speak Now (Deluxe Edition)	2010-10-25	57	290466	0.714
Enchanted	Speak Now (Deluxe Edition)	2010-10-25	60	352186	0.455
Better Than Revenge	Speak Now (Deluxe Edition)	2010-10-25	64	217160	0.516
Innocent	Speak Now (Deluxe Edition)	2010-10-25	52	302253	0.552
Haunted	Speak Now (Deluxe Edition)	2010-10-25	59	242080	0.436
Last Kiss	Speak Now (Deluxe Edition)	2010-10-25	59	367133	0.371
Long Live	Speak Now (Deluxe Edition)	2010-10-25	57	317453	0.418
Ours	Speak Now (Deluxe Edition)	2010-10-25	58	237920	0.608
If This Was A Movie	Speak Now (Deluxe Edition)	2010-10-25	56	234546	0.511
Superman	Speak Now (Deluxe Edition)	2010-10-25	53	275960	0.582
Back To December - Acoustic	Speak Now (Deluxe Edition)	2010-10-25	54	292560	0.541
Haunted - Acoustic Version	Speak Now (Deluxe Edition)	2010-10-25	52	217613	0.563
Mine - POP Mix	Speak Now (Deluxe Edition)	2010-10-25	49	230333	0.695
Jump Then Fall	Fearless Platinum Edition	2008-11-11	45	237066	0.618
Untouchable	Fearless Platinum Edition	2008-11-11	45	311040	0.419
Forever & Always - Piano Version	Fearless Platinum Edition	2008-11-11	45	267506	0.592
Come In With The Rain	Fearless Platinum Edition	2008-11-11	44	238106	0.527
SuperStar	Fearless Platinum Edition	2008-11-11	42	261453	0.61
